Titel;Autor;hkat;ukat1;Kat3;Schlagworte
Marco Polo und die Söhne des Himmels;M.Z. Thomas;5;21;;
Die Blütezeit der Seeräuber in Nord- und Ostsee;Dieter Zimmerling;5;21;;
Der Ritter;Max Kruse;5;21;;
Unter Gauklern;Arnulf Zitelmann;5;21;;
Der Medicus;Noah Gordon;5;21;;
Das Nest der Zaunkönige;Gustav Freytag;5;21;;
Bruder Staubfuß;Roesemary Sutcliff;5;21;;
Stich um Stich;Lars-Henrik Olsen;5;21;;
Robin Hood;Hrsg. Gerstenberg;5;21;;
Die rote Zora und ihre Bande;Kurt Held;4;25;;
Geboren 1999 - Eine Zukunfts Geschichte;Charlotte Kerner;4;25;;
schlafende Hunde;Sonya Hartnett;4;25;;
Die Reise ans Ende der Welt;Henning Mankell;4;25;;
Die Tote im Wald;Soniam Levitin;4;25;;
Worüber keiner spricht;Allan Stratton;4;25;;
Chandas Krieg;Allan Stratton;4;25;;
Alles auf Anfang;Barbara Lehnerer;4;25;;
Wildwassermädchen;James Pope;4;25;;
Nenn mich einfach super!;Reinhold Ziegler;4;25;;
Ein paar richtig schöne Tage;Mats Wahl;4;25;;
Ich hätte Nein sagen können;Annika Thor;4;25;;
Der kleine Lord;Frances Burnett;4;25;;
Hilfe die Herdmanns kommen;Babara Robinson;4;25;;
Mein Urgroßvater und ich;James Krüss;4;25;;
Der Schreckliche Anfang;Lemony Snicket;4;25;;
Die Rache des Marmorzüchters;Willy van Doorselaer;4;25;;
Stellastraße;Elisabeth Honey;4;25;;
Erzähl mir von Oma;Guus Kuijer;4;25;;
Bongo Bommel aus dem All;Elfie Donnelly;4;25;;
Die rote Zora;Kurt Held;4;25;;
Lügenmaus und Bärenkönig;Otto Maier Hg.;4;25;;
Nennt mich nicht Ismael;Michael Gerard Bauer;4;25;;
Ismael und der auftritt der Seekühe;Michael Gerard Bauer;4;25;;
Wer spinnt denn da?;Iva Procházková;4;25;;
Der Sommer hat Eselsohren;Iva Procházková;4;25;;
